,Name,Year,Value,Area,Area_Percentage
4842,SAL1,2005,115.0,214.5599999999999,3.065874287151364
4843,SAL1,2005,131.0,171.19000000000003,2.446155011266976
4844,SAL1,2005,132.0,299.13999999999976,4.274448332673652
4845,SAL1,2005,140.0,119.77999999999996,1.7115511843539826
4846,SAL1,2005,155.0,102.6,1.466064046708287
4847,SAL1,2005,311.0,54.760000000000005,0.7824723898415771
4848,SAL1,2005,411.0,100.90999999999997,1.4419154283950606
4849,SAL1,2005,422.0,38.489999999999995,0.5499883543645416
4850,SAL1,2005,459.0,2336.189999999996,33.3821068740685
4851,SAL1,2005,9002.0,50.86,0.7267448091187474
4852,SAL1,2005,9012.0,129.35000000000002,1.8482980939738498
4853,SAL1,2005,9018.0,820.2999999999989,11.721367812035151
4854,SAL1,2005,9020.0,323.20999999999975,4.618387529596347
4855,SAL1,2005,9023.0,1204.1300000000003,17.205961993789963
4856,SAL1,2005,9024.0,667.1699999999996,9.533274366884672
4857,SAL1,2005,9025.0,140.54999999999998,2.008336274511206
4858,SAL1,2005,9029.0,225.14000000000001,3.2170532112661188
4859,SAL1,2006,115.0,177.13000000000008,2.531032403444825
4860,SAL1,2006,131.0,175.92000000000004,2.5137425642974853
4861,SAL1,2006,132.0,266.73999999999984,3.8114807389762992
4862,SAL1,2006,140.0,107.1999999999999,1.5317940137147004
4863,SAL1,2006,155.0,93.94999999999993,1.3424631304897028
4864,SAL1,2006,171.0,1.41,0.02014766379979225
4865,SAL1,2006,311.0,44.52000000000001,0.6361517676359938
4866,SAL1,2006,411.0,138.34000000000003,1.9767573121016033
4867,SAL1,2006,422.0,70.67,1.0098123409441975
4868,SAL1,2006,459.0,2339.979999999996,33.43626265123248
4869,SAL1,2006,9002.0,50.86,0.7267448091187474
4870,SAL1,2006,9012.0,125.10000000000002,1.7875693201092275
4871,SAL1,2006,9018.0,810.5899999999991,11.58262042515857
4872,SAL1,2006,9020.0,356.6099999999998,5.095644246555965
4873,SAL1,2006,9023.0,1203.9900000000002,17.203961516533248
4874,SAL1,2006,9024.0,669.6299999999997,9.568425610109843
4875,SAL1,2006,9025.0,140.54999999999998,2.008336274511206
