,Name,Year,Value,Area,Area_Percentage
189,BOY_oh_B224,2021,9023,991.56,18.69598009
190,BOY_oh_B224,2021,9024,0.08,0.001508409
191,BOY_oh_B224,2021,9025,101.48,1.913417301
192,BOY_oh_B224,2021,9029,4.15,0.078248737
193,BOY_oh_B224,2022,115,45.88,0.865072781
194,BOY_oh_B224,2022,121,58.24,1.09812203
195,BOY_oh_B224,2022,131,148.34,2.796968097
196,BOY_oh_B224,2022,171,88.56,1.669809186
197,BOY_oh_B224,2022,411,494.7,9.327626518
198,BOY_oh_B224,2022,459,630.62,11.89041406
199,BOY_oh_B224,2022,602,48.23,0.909382306
200,BOY_oh_B224,2022,9001,47.18,0.889584433
201,BOY_oh_B224,2022,9002,1809.16,34.11192398
202,BOY_oh_B224,2022,9003,286.86,5.408778943
203,BOY_oh_B224,2022,9007,6.19,0.116713176
204,BOY_oh_B224,2022,9008,48.82,0.920506826
205,BOY_oh_B224,2022,9010,60.84,1.147145335
206,BOY_oh_B224,2022,9011,67.08,1.264801267
207,BOY_oh_B224,2022,9012,1.45,0.02733992
208,BOY_oh_B224,2022,9018,208.54,3.932046157
209,BOY_oh_B224,2022,9020,155.91,2.939701335
210,BOY_oh_B224,2022,9023,991.3,18.69107776
211,BOY_oh_B224,2022,9024,0.08,0.001508409
212,BOY_oh_B224,2022,9025,101.47,1.91322875
213,BOY_oh_B224,2022,9029,4.15,0.078248737
214,BOY_oh_Br,2016,115,13.27,1.984803614
215,BOY_oh_Br,2016,121,1.22,0.182476293
216,BOY_oh_Br,2016,131,25.27,3.779652398
217,BOY_oh_Br,2016,171,11.53,1.72455054
218,BOY_oh_Br,2016,411,60.75,9.086421969
219,BOY_oh_Br,2016,459,133.65,19.99012833
220,BOY_oh_Br,2016,602,2.93,0.438242245
221,BOY_oh_Br,2016,9002,92.96,13.90409525
222,BOY_oh_Br,2016,9012,36.09,5.398007718
223,BOY_oh_Br,2016,9018,146.85,21.96446199
224,BOY_oh_Br,2016,9020,34.46,5.154207425
225,BOY_oh_Br,2016,9023,31.6,4.726435131
226,BOY_oh_Br,2016,9025,78,11.6665171
227,BOY_oh_Br,2017,115,12.86,1.923479614
228,BOY_oh_Br,2017,121,2.99,0.447216489
229,BOY_oh_Br,2017,131,14.87,2.224116785
230,BOY_oh_Br,2017,171,9.16,1.370067905
231,BOY_oh_Br,2017,411,69.05,10.32785904
232,BOY_oh_Br,2017,459,133.99,20.04098238
233,BOY_oh_Br,2017,602,4.06,0.607257172
234,BOY_oh_Br,2017,9002,92.96,13.90409525
235,BOY_oh_Br,2017,9012,37.22,5.567022645
236,BOY_oh_Br,2017,9018,143.61,21.47985282
237,BOY_oh_Br,2017,9020,38.38,5.740524694
238,BOY_oh_Br,2017,9023,31.43,4.701008107
239,BOY_oh_Br,2017,9025,78,11.6665171
240,BOY_oh_Br,2018,115,14.45,2.161297077
241,BOY_oh_Br,2018,121,0.52,0.077776781
242,BOY_oh_Br,2018,131,14.52,2.171767029
243,BOY_oh_Br,2018,171,4.9,0.732896587
244,BOY_oh_Br,2018,411,70.05,10.47742978
245,BOY_oh_Br,2018,459,135.29,20.23542433
246,BOY_oh_Br,2018,602,4.47,0.668581172
247,BOY_oh_Br,2018,9002,92.96,13.90409525
248,BOY_oh_Br,2018,9012,37.16,5.558048401
249,BOY_oh_Br,2018,9018,144.35,21.59053516
250,BOY_oh_Br,2018,9020,40.48,6.054623231
251,BOY_oh_Br,2018,9023,31.43,4.701008107
252,BOY_oh_Br,2018,9025,78,11.6665171
253,BOY_oh_Br,2019,115,5.58,0.834604685
254,BOY_oh_Br,2019,121,2.34,0.349995513
255,BOY_oh_Br,2019,131,20.39,3.049747225
256,BOY_oh_Br,2019,171,7.97,1.192078734
257,BOY_oh_Br,2019,411,71.63,10.71375153
258,BOY_oh_Br,2019,459,134.97,20.1875617
259,BOY_oh_Br,2019,602,2.28,0.341021269
260,BOY_oh_Br,2019,9002,93.17,13.9355051
261,BOY_oh_Br,2019,9012,36.06,5.393520596
262,BOY_oh_Br,2019,9018,145.89,21.82087409
263,BOY_oh_Br,2019,9020,38.87,5.813814353
264,BOY_oh_Br,2019,9023,31.43,4.701008107
265,BOY_oh_Br,2019,9025,78,11.6665171
266,BOY_oh_Br,2020,115,10.06,1.504681564
267,BOY_oh_Br,2020,121,2,0.299141464
268,BOY_oh_Br,2020,131,19.45,2.909150737
269,BOY_oh_Br,2020,171,7.31,1.093362051
270,BOY_oh_Br,2020,411,63,9.422956116
271,BOY_oh_Br,2020,459,136.33,20.39097789
272,BOY_oh_Br,2020,602,0.14,0.020939902
273,BOY_oh_Br,2020,9002,93.22,13.94298364
274,BOY_oh_Br,2020,9012,36.27,5.42493045
275,BOY_oh_Br,2020,9018,144.76,21.65185916
276,BOY_oh_Br,2020,9020,46.02,6.883245087
277,BOY_oh_Br,2020,9023,31.43,4.701008107
278,BOY_oh_Br,2020,9025,78.59,11.75476383
279,BOY_oh_Br,2021,115,6.05,0.904902929
280,BOY_oh_Br,2021,121,7.71,1.153190344
281,BOY_oh_Br,2021,131,7.96,1.190583027
282,BOY_oh_Br,2021,171,7.13,1.066439319
283,BOY_oh_Br,2021,411,72.7,10.87379222
284,BOY_oh_Br,2021,459,136.9,20.47623321
285,BOY_oh_Br,2021,9002,93.61,14.00131622
286,BOY_oh_Br,2021,9012,35.83,5.359119328
287,BOY_oh_Br,2021,9018,147.48,22.05869156
288,BOY_oh_Br,2021,9020,43.19,6.459959915
289,BOY_oh_Br,2021,9023,31.43,4.701008107
290,BOY_oh_Br,2021,9025,78.59,11.75476383
291,BOY_oh_Br,2022,115,4.67,0.698495318
292,BOY_oh_Br,2022,121,9.56,1.429896198
293,BOY_oh_Br,2022,131,37.86,5.662747913
294,BOY_oh_Br,2022,171,8.39,1.254898441
295,BOY_oh_Br,2022,411,73.66,11.01738012
296,BOY_oh_Br,2022,459,169.29,25.32082922
297,BOY_oh_Br,2022,602,0.29,0.043375512
298,BOY_oh_Br,2022,9002,93.54,13.99084627
299,BOY_oh_Br,2022,9018,147.03,21.99138473
300,BOY_oh_Br,2022,9020,14.27,2.134374346
301,BOY_oh_Br,2022,9023,31.43,4.701008107
302,BOY_oh_Br,2022,9025,78.59,11.75476383
303,BOY_oh_Ki,2016,115,80.11,1.910146116
304,BOY_oh_Ki,2016,121,3.35,0.079877537
305,BOY_oh_Ki,2016,131,93.53,2.230133145
306,BOY_oh_Ki,2016,171,110.56,2.636197162
307,BOY_oh_Ki,2016,411,294.59,7.024216008
308,BOY_oh_Ki,2016,459,361.44,8.618190142
309,BOY_oh_Ki,2016,602,37.1,0.884613917
310,BOY_oh_Ki,2016,9001,29.83,0.71126774
311,BOY_oh_Ki,2016,9002,1085.94,25.89319777
312,BOY_oh_Ki,2016,9003,162.13,3.865834351
313,BOY_oh_Ki,2016,9007,6.19,0.147594613
314,BOY_oh_Ki,2016,9008,49.43,1.178610942
315,BOY_oh_Ki,2016,9010,35.4,0.844079048
316,BOY_oh_Ki,2016,9011,50.25,1.198163055
317,BOY_oh_Ki,2016,9012,309.95,7.390460476
318,BOY_oh_Ki,2016,9018,212.3,5.062089882
319,BOY_oh_Ki,2016,9020,275.92,6.579047764
320,BOY_oh_Ki,2016,9023,890.78,21.23979475
321,BOY_oh_Ki,2016,9024,0.08,0.001907523
322,BOY_oh_Ki,2016,9025,100.89,2.405625286
323,BOY_oh_Ki,2016,9029,4.15,0.09895277
324,BOY_oh_Ki,2017,115,105.12,2.506485579
325,BOY_oh_Ki,2017,121,13.5,0.321894552
326,BOY_oh_Ki,2017,131,120.25,2.867245918
327,BOY_oh_Ki,2017,171,75.48,1.799748207
328,BOY_oh_Ki,2017,411,271.52,6.474133984
329,BOY_oh_Ki,2017,459,372.29,8.876897986
330,BOY_oh_Ki,2017,602,25.33,0.603969556
331,BOY_oh_Ki,2017,9001,29.83,0.71126774
332,BOY_oh_Ki,2017,9002,1084.66,25.8626774
333,BOY_oh_Ki,2017,9003,162.13,3.865834351
334,BOY_oh_Ki,2017,9007,6.19,0.147594613
335,BOY_oh_Ki,2017,9008,49.43,1.178610942
336,BOY_oh_Ki,2017,9010,35.4,0.844079048
