stream,catchment,type,replicate,date_deployment,time_deployment,date_sampled,time_sampled,bag_ID,no_disks_DNA,no_disks_FA,no_disks_SIA,no_disks_OMD,no_disks_all,rest_60_g,rest_500_g,OMD_60_mg,OMD_500_mg,comments
HAAob,Boye,coarse,rep 3,04/03/2025,16:00,20/03/2025,10:35,L109,0,0,0,0,0,0.052,0.004,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
HAAun,Boye,fine,rep 1,04/03/2025,15:45,20/03/2025,11:50,055,1,3,4,5,13,2.333,0.170,17.98,1.21,
HAAun,Boye,fine,rep 2,04/03/2025,15:45,20/03/2025,11:50,002,1,3,4,5,13,2.071,0.133,12.30,1.02,
HAAun,Boye,fine,rep 3,04/03/2025,15:45,20/03/2025,11:50,676,1,3,4,5,13,2.350,0.189,16.20,1.71,
HAAun,Boye,coarse,rep 1,04/03/2025,15:45,20/03/2025,11:50,L320,0,0,0,0,0,0.180,0.036,0.00,0.00,no measurable material for analysis.
HAAun,Boye,coarse,rep 2,04/03/2025,15:45,20/03/2025,11:50,L195,1,0,0,5,6,0.261,0.022,18.20,1.42,
HAAun,Boye,coarse,rep 3,04/03/2025,15:45,20/03/2025,11:50,L011,1,3,4,5,13,0.480,0.062,19.93,2.61,
KIRob,Boye,fine,rep 1,04/03/2025,10:35,17/03/2025,10:35,736,1,3,4,5,13,2.314,0.198,16.74,1.14,
KIRob,Boye,fine,rep 2,04/03/2025,10:35,17/03/2025,10:35,011,1,3,4,5,13,2.513,0.245,17.90,1.07,
KIRob,Boye,fine,rep 3,04/03/2025,10:35,17/03/2025,10:35,113,1,3,4,5,13,2.399,0.191,15.52,1.24,
KIRob,Boye,coarse,rep 1,04/03/2025,10:35,17/03/2025,10:35,L147,1,3,4,5,13,0.709,0.058,16.67,1.00,
KIRob,Boye,coarse,rep 2,04/03/2025,10:35,17/03/2025,10:35,L145,1,3,4,5,13,0.973,0.067,18.63,1.24,
KIRob,Boye,coarse,rep 3,04/03/2025,10:35,17/03/2025,10:35,C120,1,3,4,5,13,1.453,0.120,16.89,0.79,
KIRun,Boye,fine,rep 1,04/03/2025,10:19,17/03/2025,09:55,164,1,3,4,5,13,2.231,0.168,19.61,0.95,
KIRun,Boye,fine,rep 2,04/03/2025,10:19,17/03/2025,09:55,700,1,3,4,5,13,2.419,0.233,16.06,1.29,
KIRun,Boye,fine,rep 3,04/03/2025,10:19,17/03/2025,09:55,609,1,3,4,5,13,2.355,0.206,16.59,1.47,
KIRun,Boye,coarse,rep 1,04/03/2025,10:19,17/03/2025,09:55,L110,1,3,4,5,13,0.807,0.085,15.92,1.21,
KIRun,Boye,coarse,rep 2,04/03/2025,10:19,17/03/2025,09:55,L116,1,3,4,5,13,1.726,0.203,14.91,1.44,
KIRun,Boye,coarse,rep 3,04/03/2025,10:19,17/03/2025,09:55,L172,1,0,0,4,5,0.745,0.075,15.23,1.00,
LIEohBo,Boye,fine,rep 1,04/03/2025,09:36,21/03/2025,09:45,003,1,3,4,5,13,2.556,0.256,19.96,1.92,
LIEohBo,Boye,fine,rep 2,04/03/2025,09:36,21/03/2025,09:45,516,1,3,4,5,13,10.663,6.916,16.81,1.70,
LIEohBo,Boye,fine,rep 3,04/03/2025,09:36,21/03/2025,09:45,265,1,3,4,5,13,2.704,0.383,15.92,1.72,
LIEohBo,Boye,coarse,rep 1,04/03/2025,09:36,21/03/2025,09:45,L039,1,3,4,5,13,3.219,0.565,19.88,2.20,
LIEohBo,Boye,coarse,rep 2,04/03/2025,09:36,21/03/2025,09:45,L203,1,3,4,5,13,2.351,0.165,17.58,1.20,
LIEohBo,Boye,coarse,rep 3,04/03/2025,09:36,21/03/2025,09:45,L138,1,3,4,5,13,2.541,0.207,15.78,1.08,
NATohBo,Boye,fine,rep 1,04/03/2025,16:30,21/03/2025,10:15,184,1,3,4,5,13,2.844,0.499,18.07,1.56,
NATohBo,Boye,fine,rep 2,04/03/2025,16:30,21/03/2025,10:15,214,1,3,4,5,13,2.718,0.600,19.72,2.93,
NATohBo,Boye,fine,rep 3,04/03/2025,16:30,21/03/2025,10:15,020,1,3,4,5,13,3.329,1.048,23.87,7.27,
NATohBo,Boye,coarse,rep 1,04/03/2025,16:30,21/03/2025,10:15,L125,1,3,4,5,13,2.064,0.202,19.53,1.82,
NATohBo,Boye,coarse,rep 2,04/03/2025,16:30,21/03/2025,10:15,L008,1,3,0,5,9,0.975,0.081,18.49,1.46,
NATohBo,Boye,coarse,rep 3,04/03/2025,16:30,21/03/2025,10:15,L202,1,1,0,5,7,1.329,0.151,17.11,1.51,
QUAohBo,Boye,fine,rep 1,04/03/2025,15:30,20/03/2025,12:58,138,1,3,4,5,13,2.517,0.227,17.20,1.50,
QUAohBo,Boye,fine,rep 2,04/03/2025,15:30,20/03/2025,12:58,012,1,3,4,5,13,2.405,0.192,17.24,1.05,
QUAohBo,Boye,fine,rep 3,04/03/2025,15:30,20/03/2025,12:58,508,1,3,4,5,13,2.388,0.208,17.94,1.16,
QUAohBo,Boye,coarse,rep 1,04/03/2025,15:30,20/03/2025,12:58,L074,0,0,0,0,0,0.231,0.025,0.00,0.00,
QUAohBo,Boye,coarse,rep 2,04/03/2025,15:30,20/03/2025,12:58,L313,0,0,0,0,0,0.074,0.006,0.00,0.00,
QUAohBo,Boye,coarse,rep 3,04/03/2025,15:30,20/03/2025,12:58,L120,0,0,0,0,0,0.161,0.014,0.00,0.00,
ROTB,Boye,fine,rep 1,04/03/2025,13:00,19/03/2025,10:00,052,1,3,4,5,13,2.608,0.227,16.18,1.29,
ROTB,Boye,fine,rep 2,04/03/2025,13:00,19/03/2025,10:00,099,1,3,4,5,13,2.580,0.300,14.30,0.86,
ROTB,Boye,fine,rep 3,04/03/2025,13:00,19/03/2025,10:00,549,1,3,4,5,13,2.496,0.159,15.98,0.70,
ROTB,Boye,coarse,rep 1,04/03/2025,13:00,19/03/2025,10:00,L173,1,3,4,5,13,2.349,0.213,20.00,2.06,
ROTB,Boye,coarse,rep 2,04/03/2025,13:00,19/03/2025,10:00,L197,1,3,4,5,13,1.195,0.074,20.99,1.42,
ROTB,Boye,coarse,rep 3,04/03/2025,13:00,19/03/2025,10:00,L035,1,3,4,5,13,1.583,0.122,17.80,1.41,
SCHB,Boye,fine,rep 1,04/03/2025,12:48,19/03/2025,10:30,057,1,3,4,5,13,2.449,0.140,18.34,1.02,
SCHB,Boye,fine,rep 2,04/03/2025,12:48,19/03/2025,10:30,296,1,3,4,5,13,2.624,0.216,15.53,0.95,
SCHB,Boye,fine,rep 3,04/03/2025,12:48,19/03/2025,10:30,064,1,3,4,5,13,2.586,0.153,17.78,1.12,
SCHB,Boye,coarse,rep 1,04/03/2025,12:48,19/03/2025,10:30,L184,1,3,4,5,13,1.522,0.090,22.56,1.02,
SCHB,Boye,coarse,rep 2,04/03/2025,12:48,19/03/2025,10:30,L129,1,3,4,5,13,1.682,0.123,16.75,1.06,
SCHB,Boye,coarse,rep 3,04/03/2025,12:48,19/03/2025,10:30,L076,1,3,4,5,13,0.793,0.052,18.38,1.40,
SCHohVo,Boye,fine,rep 1,04/03/2025,10:56,17/03/2025,12:35,218,1,3,4,5,13,2.299,0.151,20.42,1.15,
SCHohVo,Boye,fine,rep 2,04/03/2025,10:56,17/03/2025,12:35,589,1,3,4,5,13,2.515,0.165,16.44,0.93,
SCHohVo,Boye,fine,rep 3,04/03/2025,10:56,17/03/2025,12:35,131,1,3,4,5,13,2.731,0.344,16.70,1.26,
SCHohVo,Boye,coarse,rep 1,04/03/2025,10:56,17/03/2025,12:35,L049,1,2,0,2,5,0.372,0.020,6.57,0.40,
SCHohVo,Boye,coarse,rep 2,04/03/2025,10:56,17/03/2025,12:35,L078,1,3,4,5,13,0.536,0.039,18.41,1.20,
SCHohVo,Boye,coarse,rep 3,04/03/2025,10:56,17/03/2025,12:35,L099,1,3,0,3,7,0.239,0.012,8.43,0.85,
SPEB,Boye,fine,rep 1,04/03/2025,14:45,18/03/2025,12:35,760,1,3,4,5,13,2.599,0.211,17.17,1.20,
SPEB,Boye,fine,rep 2,04/03/2025,14:45,18/03/2025,12:35,681,1,3,4,5,13,2.422,0.175,15.19,1.29,
SPEB,Boye,fine,rep 3,04/03/2025,14:45,18/03/2025,12:35,101,1,3,4,5,13,2.531,0.212,16.79,1.21,
SPEB,Boye,coarse,rep 1,04/03/2025,14:45,18/03/2025,12:35,L192,1,3,4,5,13,1.739,0.112,20.02,1.23,
SPEB,Boye,coarse,rep 2,04/03/2025,14:45,18/03/2025,12:35,L128,1,3,0,5,9,0.867,0.052,19.49,1.40,
SPEB,Boye,coarse,rep 3,04/03/2025,14:45,18/03/2025,12:35,L007,1,2,0,5,8,1.000,0.068,12.27,0.88,
VORohBo,Boye,fine,rep 1,04/03/2025,11:25,18/03/2025,10:00,111,1,3,4,5,13,2.778,0.415,15.57,1.56,
VORohBo,Boye,fine,rep 2,04/03/2025,11:25,18/03/2025,10:00,654,1,3,4,5,13,2.515,0.172,18.41,1.16,
VORohBo,Boye,fine,rep 3,04/03/2025,11:25,18/03/2025,10:00,570,1,3,4,5,13,2.593,0.213,17.44,1.42,
VORohBo,Boye,coarse,rep 1,04/03/2025,11:25,18/03/2025,10:00,L013,1,3,4,5,13,1.850,0.175,17.73,1.54,
VORohBo,Boye,coarse,rep 2,04/03/2025,11:25,18/03/2025,10:00,L126,1,3,4,5,13,1.158,0.128,15.62,0.87,
VORohBo,Boye,coarse,rep 3,04/03/2025,11:25,18/03/2025,10:00,L066,1,3,4,5,13,1.517,0.124,19.26,1.14,
VORuhSc,Boye,fine,rep 1,04/03/2025,11:20,17/03/2025,14:15,118,1,3,4,5,13,2.422,0.158,20.38,1.09,
VORuhSc,Boye,fine,rep 2,04/03/2025,11:20,17/03/2025,14:15,203,1,3,4,5,13,2.547,0.217,18.09,1.32,
VORuhSc,Boye,fine,rep 3,04/03/2025,11:20,17/03/2025,14:15,058,1,3,4,5,13,2.495,0.175,17.46,1.36,
VORuhSc,Boye,coarse,rep 1,04/03/2025,11:20,17/03/2025,14:15,L318,1,3,4,5,13,1.780,0.167,17.07,1.61,
VORuhSc,Boye,coarse,rep 2,04/03/2025,11:20,17/03/2025,14:15,L183,1,0,0,0,1,1.213,0.113,0.00,0.00,
VORuhSc,Boye,coarse,rep 3,04/03/2025,11:20,17/03/2025,14:15,L030,1,3,4,5,13,1.454,0.171,14.41,1.92,
WITob,Boye,fine,rep 1,04/03/2025,16:15,20/03/2025,09:30,022,1,3,4,5,13,2.682,0.327,16.74,1.45,
WITob,Boye,fine,rep 2,04/03/2025,16:15,20/03/2025,09:30,070,1,3,4,5,13,2.808,0.299,17.65,0.97,
WITob,Boye,fine,rep 3,04/03/2025,16:15,20/03/2025,09:30,231,1,3,4,5,13,2.741,0.234,17.88,1.62,
WITob,Boye,coarse,rep 1,04/03/2025,16:15,20/03/2025,09:30,L025,1,3,4,5,13,0.356,0.024,13.81,1.15,
WITob,Boye,coarse,rep 2,04/03/2025,16:15,20/03/2025,09:30,L057,1,3,4,5,13,0.356,0.023,17.85,1.20,
WITob,Boye,coarse,rep 3,04/03/2025,16:15,20/03/2025,09:30,L166,1,3,4,5,13,0.932,0.060,16.83,1.16,
BIE1,Kinzig,fine,rep 1,11/03/2025,12:50,26/03/2025,15:30,738,1,3,4,5,13,4.030,1.758,29.03,11.92,
BIE1,Kinzig,fine,rep 2,11/03/2025,12:52,26/03/2025,15:30,537,1,3,4,5,13,3.497,1.371,25.01,7.27,
BIE1,Kinzig,fine,rep 3,11/03/2025,12:53,26/03/2025,15:30,240,1,3,4,5,13,3.803,1.626,21.60,5.33,
BIE1,Kinzig,coarse,rep 1,11/03/2025,12:55,26/03/2025,15:35,L214,1,0,0,0,1,0.751,0.085,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BIE1,Kinzig,coarse,rep 2,11/03/2025,12:57,26/03/2025,15:36,L199,1,3,2,5,11,1.574,0.142,21.12,1.43,
BIE1,Kinzig,coarse,rep 3,11/03/2025,13:00,26/03/2025,15:38,L096,1,1,0,5,7,1.600,0.178,19.17,1.71,
BIE2,Kinzig,fine,rep 1,11/03/2025,13:35,26/03/2025,15:39,543,1,3,4,5,13,2.865,0.475,17.57,1.80,
BIE2,Kinzig,fine,rep 2,11/03/2025,13:37,26/03/2025,15:40,747,1,3,4,5,13,2.948,0.794,20.83,5.07,
BIE2,Kinzig,fine,rep 3,11/03/2025,13:39,26/03/2025,15:41,603,1,3,4,5,13,3.237,0.935,23.72,5.05,
BIE2,Kinzig,coarse,rep 1,11/03/2025,13:41,26/03/2025,15:42,L027,1,0,0,0,1,0.758,0.089,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BIE2,Kinzig,coarse,rep 2,11/03/2025,13:43,26/03/2025,15:43,L150,1,0,0,0,1,0.595,0.057,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BIE2,Kinzig,coarse,rep 3,11/03/2025,13:45,26/03/2025,15:45,L012,0,0,0,0,0,0.324,0.020,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BRA1,Kinzig,fine,rep 1,11/03/2025,12:00,28/03/2025,12:30,629,1,3,4,5,13,2.391,0.260,19.90,2.75,
BRA1,Kinzig,fine,rep 2,11/03/2025,12:02,28/03/2025,12:31,619,1,3,4,5,13,2.904,0.699,17.13,2.80,
BRA1,Kinzig,fine,rep 3,11/03/2025,12:05,28/03/2025,12:32,112,1,3,4,5,13,2.611,0.515,17.29,2.39,
BRA1,Kinzig,coarse,rep 1,11/03/2025,12:07,28/03/2025,12:33,L069,1,0,0,2,3,1.467,0.196,7.90,1.35,
BRA1,Kinzig,coarse,rep 2,11/03/2025,12:09,28/03/2025,12:34,L215,1,3,4,5,13,1.688,0.265,17.42,1.66,
BRA1,Kinzig,coarse,rep 3,11/03/2025,12:12,28/03/2025,12:35,C118,0,0,0,0,0,1.655,0.195,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BRA2,Kinzig,fine,rep 1,11/03/2025,12:30,28/03/2025,12:36,611,1,3,4,5,13,2.948,0.919,15.48,2.69,
BRA2,Kinzig,fine,rep 2,11/03/2025,12:32,28/03/2025,10:00,207,1,3,0,5,9,2.291,0.567,18.82,3.25,
BRA2,Kinzig,fine,rep 3,11/03/2025,12:35,28/03/2025,10:02,754,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bag missing
BRA2,Kinzig,coarse,rep 1,11/03/2025,12:37,28/03/2025,10:04,L017,0,0,0,0,0,1.003,0.204,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
BRA2,Kinzig,coarse,rep 2,11/03/2025,12:39,28/03/2025,10:06,L048,1,0,0,0,1,1.220,0.154,0.00,0.00,Only DNA sample disc could be prepared due to limited leaf material.
BRA2,Kinzig,coarse,rep 3,11/03/2025,12:40,28/03/2025,10:07,L314,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bag missing
FAL1,Kinzig,fine,rep 1,10/03/2025,14:40,28/03/2025,16:30,223,1,3,4,5,13,2.558,0.541,22.57,3.58,
FAL1,Kinzig,fine,rep 2,10/03/2025,14:42,28/03/2025,16:32,768,1,3,4,5,13,2.321,0.360,16.49,1.81,
FAL1,Kinzig,fine,rep 3,10/03/2025,14:44,28/03/2025,16:33,135,1,3,3,5,12,2.367,0.435,16.26,1.70,
FAL1,Kinzig,coarse,rep 1,10/03/2025,14:46,28/03/2025,16:34,C115,0,0,0,0,0,0.000,0.000,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
FAL1,Kinzig,coarse,rep 2,10/03/2025,14:48,28/03/2025,16:35,L142,0,0,0,0,0,0.052,0.004,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
FAL1,Kinzig,coarse,rep 3,10/03/2025,14:50,28/03/2025,16:36,L167,0,0,0,0,0,0.000,0.000,0.00,0.00,Significant leaf consumption by macroinvertebrates observed
FAL2,Kinzig,fine,rep 1,10/03/2025,13:00,28/03/2025,16:40,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,fine,rep 2,10/03/2025,13:02,28/03/2025,16:42,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,fine,rep 3,10/03/2025,13:04,28/03/2025,16:43,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,coarse,rep 1,10/03/2025,13:06,28/03/2025,16:44,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,coarse,rep 2,10/03/2025,13:08,28/03/2025,16:45,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
FAL2,Kinzig,coarse,rep 3,10/03/2025,13:10,28/03/2025,16:46,X,NA,NA,NA,NA,0,NA,NA,NA,NA,Sample bags retrieved from stream shore
GRU1,Kinzig,fine,rep 1,11/03/2025,11:50,24/03/2025,16:00,731,1,3,4,5,13,2.999,0.545,20.49,3.25,
GRU1,Kinzig,fine,rep 2,11/03/2025,11:52,24/03/2025,16:02,205,1,3,4,5,13,2.821,0.366,17.81,2.35,
GRU1,Kinzig,fine,rep 3,11/03/2025,11:54,24/03/2025,16:03,157,1,3,4,5,13,2.763,0.398,21.62,2.90,
GRU1,Kinzig,coarse,rep 1,11/03/2025,11:56,24/03/2025,16:04,L187,1,0,0,3,4,1.739,0.133,12.48,0.85,
GRU1,Kinzig,coarse,rep 2,11/03/2025,11:58,24/03/2025,16:06,L090,1,3,4,5,13,2.232,0.305,17.92,1.14,
GRU1,Kinzig,coarse,rep 3,11/03/2025,12:00,24/03/2025,16:08,L152,1,3,4,5,13,1.832,0.183,17.19,1.70,
GRU2,Kinzig,fine,rep 1,11/03/2025,11:00,25/03/2025,16:00,146,1,3,4,5,13,2.985,0.642,18.98,2.37,
GRU2,Kinzig,fine,rep 2,11/03/2025,11:02,25/03/2025,16:03,692,1,3,4,5,13,2.849,0.507,13.32,1.49,
GRU2,Kinzig,fine,rep 3,11/03/2025,11:04,25/03/2025,16:07,151,1,3,4,5,13,2.847,0.566,17.79,3.36,
GRU2,Kinzig,coarse,rep 1,11/03/2025,11:06,25/03/2025,16:10,L220,1,3,4,5,13,1.312,0.104,20.20,1.64,
GRU2,Kinzig,coarse,rep 2,11/03/2025,11:08,25/03/2025,16:12,L153,1,0,0,2,3,1.422,0.167,7.20,0.70,
GRU2,Kinzig,coarse,rep 3,11/03/2025,11:10,25/03/2025,16:15,C116,1,3,2,5,11,2.500,0.663,19.27,3.15,
KIN1,Kinzig,fine,rep 1,10/03/2025,12:20,25/03/2025,15:15,256,1,3,4,5,13,2.398,0.240,19.02,1.39,
