"stream","catchment","type","replicate","date_deployment","time_deployment","date_sampled","time_sampled","bag_ID","no_disks_DNA","no_disks_FA","no_disks_SIA","no_disks_OMD","no_disks_all","rest_60_g","rest_500_g","OMD_60_mg","OMD_500_mg","comments","deployment_duration_days","LandUse","initial_mass_g","perc_60","perc_500","AFDM_start","rest_AFDM","afdm_all_disks","AFDM_end","water_temp","deg_days","k","total_abundance","oxygen_dissolved","conductivity"
"KIN2","Kinzig","coarse","rep 3",2025-03-10,"11:30",2025-03-25,"13:38","L122",1,3,4,5,13,2.238,0.367,14.67,1.63,"",15,"urban",3.472,0.91228325487691,0.0476630928962099,3.002,1.871,0.0311,1.9021,10.7,160.5,0.00284,64,13.4,436
"KIN3","Kinzig","fine","rep 1",2025-03-10,"13:00",2025-03-25,"11:45","018",1,3,4,5,13,2.512,0.294,14.02,1.25,"",15,"urban",3.51,0.854017522637833,0.0453407045534041,2.8385,2.218,0.0311,2.2491,9.7,145.5,0.0016,9,13.1,435
"KIN3","Kinzig","fine","rep 2",2025-03-10,"13:02",2025-03-25,"11:46","501",1,3,4,5,13,2.64,0.39,17.36,1.98,"",15,"urban",3.539,0.854017522637833,0.0453407045534041,2.8619,2.25,0.0311,2.2811,9.7,145.5,0.00156,29,13.1,435
"KIN3","Kinzig","fine","rep 3",2025-03-10,"13:04",2025-03-25,"11:48","283",1,3,4,5,13,2.322,0.281,17.33,2.11,"",15,"urban",3.534,0.854017522637833,0.0453407045534041,2.8579,2.041,0.0311,2.0721,9.7,145.5,0.00221,15,13.1,435
"KIN3","Kinzig","coarse","rep 1",2025-03-10,"13:06",2025-03-25,"11:50","L209",1,0,0,0,1,1.289,0.116,0,0,"Significant leaf consumption by macroinvertebrates observed",15,"urban",3.485,0.91228325487691,0.0476630928962099,3.0132,1.173,0.0024,1.1754,9.7,145.5,0.00647,9,13.1,435
"KIN3","Kinzig","coarse","rep 2",2025-03-10,"13:08",2025-03-25,"11:52","C114",1,3,4,5,13,1.663,0.193,14.45,1.22,"",15,"urban",3.53,0.91228325487691,0.0476630928962099,3.0521,1.47,0.0311,1.5011,9.7,145.5,0.00488,29,13.1,435
"KIN3","Kinzig","coarse","rep 3",2025-03-10,"13:10",2025-03-25,"11:55","L176",1,3,4,5,13,2.1,0.25,14.79,1.13,"",15,"urban",3.496,0.91228325487691,0.0476630928962099,3.0227,1.85,0.0311,1.8811,9.7,145.5,0.00326,15,13.1,435
"KIN4","Kinzig","fine","rep 1",2025-03-10,"14:00",2025-03-27,"12:30","722",1,3,4,5,13,2.813,0.799,18.76,4,"",17,"rural",3.493,0.854017522637833,0.0453407045534041,2.8247,2.014,0.0311,2.0451,9.5,161.5,0.002,12,11,438
"KIN4","Kinzig","fine","rep 2",2025-03-10,"14:02",2025-03-27,"12:32","769",1,3,4,5,13,2.835,0.776,19.8,3.36,"",17,"rural",3.502,0.854017522637833,0.0453407045534041,2.832,2.059,0.0311,2.0901,9.5,161.5,0.00188,8,11,438
"KIN4","Kinzig","fine","rep 3",2025-03-10,"14:04",2025-03-27,"12:35","162",1,3,4,5,13,3.52,1.323,20.62,6.35,"",17,"rural",3.517,0.854017522637833,0.0453407045534041,2.8441,2.197,0.0311,2.2281,9.5,161.5,0.00151,21,11,438
