stream,replicate,LandUse,k_micro,k_total,k_macro,total_abundance,Gammarids,Trichoptera,Chironomids,Others,ph,water_temp,oxygen_dissolved,oxygen_saturation,redox,conductivity,water_level
KRE1,rep 2,urban,-2.407790336819416,0.06449341688375693,2.4722837537031728,82,80,2,0,0,8.22,9.6,12.11,106.414762741652,80.7,831,25
KRE1,rep 3,urban,-1.8092169043376536,0.5714285714285714,2.380645475766225,98,85,13,0,0,8.22,9.6,12.11,106.414762741652,80.7,831,25
KRE2,rep 1,rural,-2.154322759547008,-1.021517664198788,1.13280509534822,100,100,0,0,0,8.01,9.3,10.75,93.9685314685315,85.1,839,28
KRE2,rep 2,rural,-2.5013783653507655,-3.6595302184262266,-1.158151853075461,50,50,0,0,NA,8.01,9.3,10.75,93.9685314685315,85.1,839,28
KRE2,rep 3,rural,-2.906926488986618,0.5714285714285714,3.47835506041519,100,100,0,0,NA,8.01,9.3,10.75,93.9685314685315,85.1,839,28
ORB1,rep 1,urban,-2.2752072964000023,-2.23036303272873,0.044844263671272255,15,10,0,5,NA,7.13,8.9,11.72,101.55979202773,70.9,98,21
ORB1,rep 2,urban,-2.345398317798515,-2.711951429546304,-0.36655311174778893,25,20,0,5,0,7.13,8.9,11.72,101.55979202773,70.9,98,21
ORB1,rep 3,urban,-2.3414988166097084,-0.6959093149334648,1.6455895016762436,25,25,0,0,0,7.13,8.9,11.72,101.55979202773,70.9,98,21
ORB2,rep 1,rural,-2.166021263113427,0.5714285714285714,2.737449834541998,42,40,2,0,0,7.03,8.9,11.61,100.606585788562,74.1,123,25
ORB2,rep 2,rural,-2.464333104057107,0.5714285714285714,3.035761675485678,12,10,2,0,0,7.03,8.9,11.61,100.606585788562,74.1,123,25
ORB2,rep 3,rural,-2.819187712238476,-0.5789242792692769,2.2402634329691993,30,30,0,0,0,7.03,8.9,11.61,100.606585788562,74.1,123,25
SAL1,rep 1,rural,-2.4155893391970276,-1.0234674147931913,1.3921219244038363,0,0,0,0,NA,8.88,8.1,14.04,119.18505942275,80.3,171,48
SAL1,rep 2,rural,-2.507227617133975,-2.9147254913642295,-0.40749787423025463,5,0,0,5,NA,8.88,8.1,14.04,119.18505942275,80.3,171,48
SAL1,rep 3,rural,-2.440936096924269,-2.713901180140707,-0.2729650832164383,10,0,0,10,NA,8.88,8.1,14.04,119.18505942275,80.3,171,48
SAL2,rep 1,urban,-2.680755420035854,0.5714285714285714,3.2521839914644257,1,0,1,0,0,8.25,6.1,14.13,114.135702746365,72.6,209,23
SAL2,rep 2,urban,-2.234262533917536,-2.466282854651509,-0.23202032073397305,6,0,1,5,NA,8.25,6.1,14.13,114.135702746365,72.6,209,23
SAL2,rep 3,urban,-2.7431474390567545,-2.0334382226940138,0.7097092163627408,12,2,5,5,NA,8.25,6.1,14.13,114.135702746365,72.6,209,23
STE1,rep 1,rural,-0.23381842405992231,-1.4875080562611367,-1.2536896322012143,3,0,0,3,NA,8.19,9.7,12.24,107.746478873239,86.6,313,NA
STE1,rep 2,rural,-2.265458543427987,-1.9125536858410195,0.3529048575869673,9,0,7,2,NA,8.19,9.7,12.24,107.746478873239,86.6,313,NA
STE1,rep 3,rural,-3.1545448144758153,-2.3142023082880647,0.8403425061877505,14,0,6,8,NA,8.19,9.7,12.24,107.746478873239,86.6,313,NA
STE2,rep 1,urban,-2.6866046718190635,-2.3707450755257558,0.31585959629330773,6,0,0,6,NA,8.82,11.5,12.19,111.834862385321,27.9,320,NA
STE2,rep 2,urban,-2.0490362274492386,-2.220614279756715,-0.17157805230747636,27,0,2,25,0,8.82,11.5,12.19,111.834862385321,27.9,320,NA
STE2,rep 3,urban,-2.5852176409101006,-2.74704694024556,-0.16182929933545953,40,1,2,37,0,8.82,11.5,12.19,111.834862385321,27.9,320,NA
